company,title,description
Jobs via Dice,Senior Software Engineer - Digital Workplace,"Job Description

Job Description

The role

Our Workplace Engineering team are a highly performant group which specialises in web architecture and analytics specialists. Building new tools, dashboards and analytics that empower colleagues, managers and executives to make better decisions and deliver better work.

About Canonical

Canonical is a pioneer in the digital workplace, established in 2004 with a global, remote-first policy that has delivered world-class open source and sets the pace in cloud, developer and IoT technology.

We are dedicated to continually improving to keep Canonical the best at remote work. It's part of our enjoyment of our mission - both to deliver the world's best free software, and to push the boundaries of 21st-century work and collaboration.

Our goal is to improve the state of the art even further in key business processes for a distributed team: hiring, collaboration, communication, learning, documentation, development, and open source development. We want to understand our distributed teams as well as we could understand co-located teams. We want to help them work better, be happier, and make better decisions.

What you will do:

Design and deliver web-based systems and SAAS
Provide new insights into the Canonical workplace experience
Enable new processes and improve existing workflows
Collaborate proactively with a distributed team
Write high-quality code to create new features
Debug issues and produce high-quality code to fix them
Consistently provide high-quality code reviews to other engineers
Discuss ideas and collaborate on finding good solutions
Estimate work, set goals and meet them
Write project specifications, and epics and understand the risks
Understand completion criteria and push work to completion
Coaching, mentoring and providing feedback to more junior members of the team, while always developing yourself
Connect to many data sources and provide insightful visualisations
Database design and architecture for connected systems
Developing new and improved working practices for the company
Providing tooling to support optimised processes
Love what you do.

Who you are

To be successful in this team you must be an expert in two or more of the following:

Backend web service programming in Python and Node.JS
Solid understanding of web development technologies such as HTML, CSS, and JavaScript.
Data analytics and statistical analysis
Natural language processing, sentiment analysis, machine learning
Data visualisation

The ideal candidate will use their passion for experimentation and analytics to build tomorrow's tech organisation. This team will help us gain insights into the business and our talent pool, and use those insights to improve the experience of working at Canonical.

As a Senior Web Engineer at Canonical, you need an analytical, data-driven mind and a passion to connect and make sense of interesting data from APIs. We focus heavily on the collection of metrics, optimising processes, and ways of working across Canonical. You need to demonstrate leadership, excellence, and consistency and will mentor others in the team.

We offer

Remote first: 100% remote working with the opportunity to travel to Sprints. We meet a couple of times a year in interesting places all around the world to come together to collaborate. These Sprints see circa 300 people come together. This year we have travelled to Frankfurt, Copenhagen, Montreal and Prague!
Personal development: Annual budget allowance and time to focus on areas you want to improve.
Compensation: eligibility for annual pay review including bonuses.
Recognition: The ability to possibly be rewarded and recognised by others for the work you do.
Travel: Priority Pass for lounge access when flying to sprints. International SOS membership to support you whilst travelling.

We are proud to foster a workplace free from discrimination. Diversity of experience, perspectives, and background create a better work environment and better products. Whatever your identity we will give your application fair consideration."
Jobs via Dice,Quantitative Analyst,"Job Family Group: 

Supply & Trading Group

Job Description: 

About the Role:

The BP Quantitative Analytics [QA] Team is an international team located on BP's commodity trading floors in London, Houston, New York & Singapore. The team provides quantitative modelling and analytics support to energy trading and commercial teams within the entire BP trading organization. Option pricing, statistical analysis, hedging strategies and real option valuations of physical assets or contractual terms are the team's main focus. The team works closely with traders, structurers, originators and trading desk market analysts to contribute to the business.

This opportunity is available within BP's office in New York. While this role reports directly to the global Head of Quantitative Analytics, it is a hybrid role for a person who is experienced in both Quantitative Analytics as well as Power & Gas Structuring. You will be responsible for delivering practical pricing solutions to challenging business problems in a highly dynamic commercial environment. As an expert quant, you will be expected to act both as an individual contributor seamlessly collaborating with peers in Quant Analytics & Structuring, and by providing guidance to members of the distributed team with less industry experience.

Key Responsibilities:

Responsibilities are hybrid, suited for a person that can operate either as a Quant or as a Structurer, or both, depending on business priorities at any given time.
As Quant Analyst, you will build pricing & risk models in support of bp structured energy businesses.
You will also be asked to provide or confirm pricing indications for structured products in power & gas.
You will build direct relationships with key customers (such as trading, structuring, origination), understand their business requirements and immediate goals.
You will foster flawless partnerships with our sister analytics, risk and technology teams to provide impactful cross-discipline solutions.
Implement cross-commodity modelling algorithms in BP's proprietary energy derivatives valuation library, inclusive of stochastic price processes and calibration methodologies.
Employ ""Dev Ops"" software development practices across the immediate team for the safe, agile production of industrial strength code.
Mentoring & collaborating with less experienced analysts in the team

Role Requirements:

Undergraduate degree plus PhD or MSc in a quantitative field, (eg physics, mathematics, electrical engineering or mathematical finance) from a top-class institution.
North America Power & Gas markets, for instance DA, RT, ancillary services & load.
Load & Resource optimization for the trading desk.
Energy exotics such as revenue options and contingent extendables.
Complex structured products in power & gas space, inclusive of all renewables.
Implementing financial derivatives valuation solutions in a trading environment.
Stochastic calculus, probability theory and associated numerical methods for their practical implementation, including

Considering Joining bp?

At bp, we support our people to learn and grow in a diverse and exciting environment. We believe that our team is strengthened by diversity. bp is committed to encouraging an inclusive environment in which everyone is respected and treated fairly. There are many aspects of our employees' lives that are meaningful, so we offer benefits to enable your work to fit with your life. These benefits can include flexible working options, a generous paid parental leave policy, excellent retirement benefits, and more!

How much do we pay (Base)? $185K- $330K) *Note that the pay range listed for this position is a genuinely expected and reasonable estimate of the range of possible base compensation at the time of posting.

Travel Requirement:

Negligible travel should be expected with this role

Relocation Assistance:

This role is eligible for relocation within country

Remote Type:

This position is a hybrid of office/remote working

Skills:

Agility core practices, Analytical Thinking, Computational Thinking, Continued Learning, Data Analysis, Data cleansing and transformation, Data Management, Data Sourcing, Data visualization and interpretation, Dialogue enablement, Exposure Management, Machine Learning, Macroeconomics, Market analysis methods, Market Risk Management, Statistics, Trade execution and management, Trading Fundamentals, Sentiment and Trends, Trading knowledge

Legal Disclaimer:

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, sex, gender, gender expression, sexual orientation, age, marital status, socioeconomic status, neurodiversity/neurocognitive functioning, veteran status or disability status. Individuals with an accessibility need may request an adjustment/accommodation related to bp's recruiting process (e.g., accessing the job application, completing required assessments, participating in telephone screenings or interviews, etc.). If you would like to request an adjustment/accommodation related to the recruitment process, please contact us.

If you are selected for a position and depending upon your role, your employment may be contingent upon adherence to local policy. This may include pre-placement drug screening, medical review of physical fitness for the role, and background checks."
Talent Groups,Web Developer,"We have partnered with our client in the search for a Web Developer skilled in React, TypeScript/JavaScript, and Node.js to build and maintain scalable web applications and microservices. This role involves leveraging Kubernetes and Argo CD in an Agile environment to deliver high-quality solutions through collaboration with cross-functional teams.

Responsibilities

Develop and Maintain web applications using React and TypeScript /JavaScript
Develop scalable Microservices utilizing Node.js
Utilize Kubernetes for container orchestration and Argo CD for continuous deployments
Collaborate with cross functional teams in an Agile/Scrum environment to deliver high-quality software solutions

Skills and Experience:

2+ years of experience in software development with a focus on TypeScript/JavaScript and frameworks such as React
Hands-on experience in building microservices with Node.js
Proficiency in Git for version control
Understanding of CI/CD principles and pipeline configurations
Familiarity with regular expressions for pattern matching in text
Basic knowledge of software development methodologies
Strong communication skills, both written and verbal, with the ability to explain technical concepts clearly and patiently
A proactive approach to learning new skills and applying knowledge to solve complex problems"
Jobs via Dice,Python Software Engineer - Ubuntu Server Certification,"Job Description

Job Description

Canonical is hiring a software engineer to join the Server Certification team. The Certification team develops Python based testing tools used to test Ubuntu Server on the latest enterprise hardware ensuring Ubuntu users have the best experience with their hardware. We work at the interface of hardware and software, so the ideal candidate is a Python developer with a problem solving mindset, familiar with hardware.

Server Certification team represents Canonical to our datacenter hardware partners. We work together with silicon companies, OEMs, ODMs and teams within Canonical to ensure a smooth, secure out of the box Ubuntu experience, with success in this role leading to a great Ubuntu experience being offered on more and more devices. We focus on the interaction between server hardware and Ubuntu Linux, so the ideal candidate has software development experience and a good understanding of configuring and troubleshooting server hardware running Linux.

This is an excellent opportunity for someone who wants to have a meaningful impact on the adoption of Linux on enterprise server hardware across multiple industries. Canonical offers a fun, fast-paced team environment and a career full of learning and development opportunities. This team is centered in North and South American time zones.

What you'll do

Contribute to Canonical's open source testing tools such as Checkbox and Testflinger.
Troubleshoot issues related to hardware compatibility, functionality, and performance.
Technically support Canonical's hardware partners in their hardware certification efforts.
Educate the partner about Canonical's tools, processes, and product roadmaps.
Support Canonical's internal teams on customer deployments of Canonical's suite of Datacenter and Cloud products that utilize the partner's hardware.
Work from home with global travel 2 to 4 times per year for internal and external events.

Who you are

You have a good knowledge of Python and shell scripting.
You have knowledge of server-class hardware.
You know your way around Ubuntu, virtualization, and cloud computing concepts.
You are confident in a customer-facing role.

Desired skills and experience

Experience with test automation tools for validating hardware compatibility.
Knowledge of CI/CD concepts.
Comfortable with some virtualization or container technologies such as QEMU, KVM, LXC / LXD, Docker.

We are proud to foster a workplace free from discrimination. We truly believe that diversity of experience, perspectives, and background will lead to a better environment for our employees and a better platform for our users and customers. This is something we value deeply and we encourage everyone to come be a part of the world of Ubuntu."
General Atomics,Accounts Payable Specialist,"Job Summary

General Atomics (GA), and its affiliated companies, is one of the world’s leading resources for high-technology systems development ranging from the nuclear fuel cycle to remotely piloted aircraft, airborne sensors, and advanced electric, electronic, wireless and laser technologies.

We have an exciting opportunity for a talented Accounts Payable (AP) Specialist to join the Accounting division of our Finance and Accounting group at General Atomics located in San Diego (Torrey Pines).

Under minimal supervision, this position is responsible for performing a variety of highly complex accounting support tasks in an accounting department. Verifies accuracy of accounting documents or records.

Updates and maintains accounting journals, ledgers, cash balance, and other records detailing financial business transactions (e.g., accounts receivable, disbursements, expense vouchers, payrolls, receipts, accounts payable).

Reconciles records with employees and management, external vendors, or customers. May reconcile bank and financial statements/reports.

DUTIES AND RESPONSBILITIES:

Execute weekly check run
Perform duties relevant to the SAP administrator function
Act as the ActivePay administrator for GA Corp AP division
Manage the GA Corporate AP Helpdesk email box
Assist with month end journal entry preparation as need
Execute voids in SAP as requested
Run Wells Fargo positive pay script; assist in testing of automated process with IT
Clear wires transacted by GA Treasury
Prepare annual 1099 forms for AP COE
Recommends actions to resolve discrepancies and investigates questionable data. May help design, modify, install, and/or maintain accounting systems to ensure an adequate recognition of financial transactions.


May be responsible for the adherence to and communication of accounting and auditing policies and procedures.

Interacts frequently with outside representatives and/or senior level internal contacts.ADDITIONAL FUNCTIONS:

Performs highly complex accounting support tasks in an accounting department.
Prepares analysis of highly complex general ledger accounts for multiple corporations.
Prepares various journal vouchers allocating cost to appropriate projects/accounts.
Coordinates and participates in the research and analysis of accounting and financial data.
Performs complex analysis, budgeting, and reporting for assigned projects and/or programs.
Ensures compliance with departmental and company policies and procedures.
Ensures accounting files and records are accurate and up to date.
Enters data into computer systems using defined computer programs and procedures which may or may not be well established.
Compiles data and prepares a variety of highly complex reports. May present findings to professional staff and/or management.
Recommends improvements and/or changes to processing methods and techniques.
May act as primary contact for inquiries from internal and external representatives.
May provide direction and guidance to other accounting support staff.
Responsible for observing all laws, regulations and other applicable obligations wherever and whenever business is conducted on behalf of the Company.


We recognize and appreciate the value and contributions of individuals with diverse backgrounds and experiences and welcome all qualified individuals to apply.

Job Qualifications

Typically requires a high school diploma and eight or more years of progressive experience in an accounting department or a related field.
May substitute additional experience in lieu of education.
Must have excellent knowledge of computer operations and applications and proficiency with spreadsheets.
Must be accurate, reliable, and able to handle numerous bank accounts in an efficient and expedient manner.
Must possess the ability to understand new concepts quickly; organize, schedule, and coordinate work phases; and, determine the appropriate approach at the task level or, with assistance, at the project level to provide solutions to a wide range of unusually difficult problems.
Must have good communication, computer, documentation and interpersonal skills.
Must be able to work independently and as part of a team and capable of effectively interacting with professional staff.
Able to work extended hours as required.


Job Type: Full-Time Hourly

Salary range: 60,670 - 90,198"
Microsoft Power Platform Community,Senior Researcher -- Artificial Intelligence and Machine Learning – Microsoft Research,"Overview

Microsoft Research New York City (MSR NYC) is seeking applicants for a Senior Researcher in machine learning (ML) and artificial intelligence (AI ), both broadly in AI/ ML, and specifically in the areas of science of deep learning / generative AI, and modular transfer learning, and in areas that bridge AI/ ML interests with other research areas at MSR NYC and other MSR labs, particularly the Montreal and New England labs . We encourage applicants with mixed theory + empirical focus to apply

As a S enior R esearcher, you will have the opportunity to pursue your own research agenda , interact and collaborate with our gr o up's diverse array of researchers , and shape ongoing and future research projects.

Microsoft Research offers an exhilarating and supportive environment for cutting-edge , multidisciplinary research, both theoretical and empirical, with access to an extraordinary diversity of data sources, an open publications policy, and close links to top academic institutions around the world. 

Applicants should have a well-established research track record , evidenced by conference or journal publications (or equivalent pieces of writing) and broader contributions to the research community. Applicants must have fulfilled their PhD degree requirements, including submission of their dissertation, prior to joining MSR NYC.

Microsoft’s mission is to empower every person and every organization on the planet to achieve more, and we are dedicated to this mission across every aspect of our company. Our culture is centered on embracing a growth mindset and encouraging teams and leaders to bring their best each day. Join us and help shape the future of the world. 

Responsibilities

As a Senior Researcher, you define your own research agenda in collaboration with other researchers, driving forward an effective program of basic, fundamental, and applied research. We highly value collaboration and building new ideas with members of the group and others. You will also have the direct opportunity to realize your ideas in products and services used worldwide. 

Qualifications

 Required qualifications 

 PhD in relevant field (completed or close to completion by the start date). 
 Research ability demonstrated by two conference or journal publications, book chapters, or equivalent (potentially unpublished) writing samples, requested as part of the application. 

Other Requirements

 How to Apply 

To ensure we receive a complete application from you, please be sure to follow these instructions: 

 Upload your CV. 
 When prompted in your application, please provide the names and contact information for at least 3 reference letter writers (in nearly all cases, one will be from your dissertation advisor). 
 Upload (as separate attachments to your application) 2 conference or journal articles, book chapters, or equivalent (potentially unpublished) writing samples that you are most proud of, and which best demonstrate your expertise . 
 Upload (as an attachment to your application) an academic statement (no more than 4 pages) that outlines both your research achievements and agenda. 

After you submit your application, the system will send a request for letters to your list of references on your behalf. Note:  The application system will not request reference letters until after you have submitted your application.  You may wish to alert your letter writers in advance so that they will be ready to submit your letter. While you will not be able to view the letters themselves, you can check the status of individual reference requests within your application. 

Preferred Qualifications

 Research agenda that overlaps with ML & AI research at MSR NYC and/or MSR New England and MSR Montreal 
 The ability to work in a highly collaborative and interdisciplinary environment. 
 Participation and activity in the scientific community. 
 Strong communication skills. 

Research Sciences IC4 - The typical base pay range for this role across the U.S. is USD $117,200 - $229,200 per year. There is a different range applicable to specific work locations, within the San Francisco Bay area and New York City metropolitan area, and the base pay range for this role in those locations is USD $153,600 - $250,200 per year.

Certain roles may be eligible for benefits and other compensation. Find additional benefits and pay information here: https://careers.microsoft.com/us/en/us-corporate-pay

Microsoft will accept applications and processes offers for these roles on an ongoing basis.

Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form .

Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work.

#Research"
Whitecollars,Artificial Intelligence/Machine Learning Engineer,"About The Role

We are hiring an Artificial Intelligence/Machine Learning Engineer to join our client’s team. In this role, you will be responsible for enhancing data collection procedures, ensuring the integrity of data used for analysis, and implementing machine learning models to drive decision-making and business outcomes. Your work will involve processing, cleansing, and verifying data to ensure it is accurate and suitable for AI and ML applications, as well as presenting actionable insights that will maximize the ROI from data-driven initiatives.

Key Responsibilities

Data Processing & Preparation

Enhance data collection procedures to ensure relevant information is captured for building robust analytics and machine learning systems.
Cleanse and process raw data, ensuring data integrity, accuracy, and consistency for analysis and model development.
Verify the quality of the data used for machine learning and AI applications to support decision-making.


Model Development & Machine Learning

Develop, implement, and maintain machine learning models for various applications, including predictive analytics, natural language processing, and computer vision.
Work with large datasets to extract meaningful insights using machine learning algorithms, statistical methods, and data mining techniques.
Optimize and tune machine learning models for improved performance and scalability.


Reporting & Analysis

Perform ad-hoc analysis on data to uncover trends, patterns, and actionable insights.
Generate detailed, accurate reports on the performance of AI systems, interpreting results to support business objectives.
Present findings and recommendations to stakeholders in a clear, understandable manner, ensuring alignment with business goals.


Collaboration & Continuous Improvement

Work closely with cross-functional teams, including data scientists, engineers, and business analysts, to deliver high-quality AI/ML solutions.
Stay up-to-date with the latest advancements in AI and machine learning technologies, incorporating new techniques and methodologies into projects.
Contribute to continuous improvement initiatives aimed at enhancing AI system performance and maximizing ROI from data-driven efforts.


Qualifications And Skills

Education

Bachelor’s or Master’s degree in Computer Science, Data Science, Artificial Intelligence, or a related field.


Experience

+3 years of experience as an AI/ML Engineer, Data Scientist, or in a similar technical role.
Hands-on experience with machine learning frameworks such as TensorFlow, PyTorch, or Scikit-learn.
Experience working with large datasets, data cleaning, data preprocessing, and feature engineering.


Technical Skills

Strong proficiency in programming languages such as Python, R, or Java.
Familiarity with data processing tools and techniques, such as SQL, Hadoop, or Spark.
Solid understanding of machine learning algorithms and techniques, including supervised and unsupervised learning, neural networks, and deep learning.
Experience with AI systems, natural language processing, and computer vision is a plus.


Soft Skills

Strong analytical and problem-solving skills, with a focus on extracting meaningful insights from complex data.
Excellent communication skills, with the ability to present technical results to non-technical stakeholders.
Ability to work independently and in a collaborative team environment.
Detail-oriented with a focus on accuracy and efficiency in all tasks.


What Our Client Offers

Competitive salary and benefits package.
Opportunities for professional development and exposure to cutting-edge AI and machine learning technologies.
A dynamic and innovative work environment."
Viant,"Principal Software Engineer, Runtime","What You'll Do

You will serve as the technical lead working with a team of engineers on Viant's ad server, managing a high-volume, low-latency application that processes billions of unique requests a day. This hands-on role requires you to apply domain, architectural and coding skills to solve complex, large-scale challenges that directly impact Viant's ad server technology. You will have the opportunity to mentor team members and contribute towards the success of Viant's products. Primarily supporting Viant's DSP, Adelphic®, you will collaborate with Product, other Engineering and Technical operations teams on spec creation and provide production support.

THE DAY-TO-DAY

Contribute to the development and continuous review of existing projects as well as participate in view and scope of future projects
Collaborate with other, internal teams to create and iterate on the runtime platform to create a highly reliable, highly-available, low-latency, runtime platform
Have an outsized impact by owning multiple subsystems of the runtime platform
Manage all phases of the software development life cycle

GREAT TO HAVE

Bachelor's degree in Mathematics, Computer Science or related field
12+ years of experience in commercial software applications
Must have experience in the AdTech domain or possess strong proficiency in the Go programming language.
Experience designing, building and delivering high quality software
Knowledge of modern programming languages
Knowledge of relational databases like MySQL, Oracle or SQL Server with experience in writing SQL
Knowledge of cloud based technologies, especially AWS and GCP

LIFE AT VIANT

Investing in our employee's professional growth is important to us, but so is investing in their well-being. That's why Viant was voted one of the BEST PLACES TO WORK!
Some our favorite employee benefits include fully paid health insurance, paid parental leave and unlimited PTO and more. View a list of our benefits here. 

$200,000 - $260,000 a year

In accordance with California law, the range provided is Viant's reasonable estimate of the compensation for this role. Final title and compensation for the position will be based on several factors including work experience and education.

Not the right position for you? Check out our other opportunities!

Viant Careers

About Viant

Viant® (NASDAQ: DSP) is a leading people-based advertising technology company that enables marketers to plan, execute and measure omnichannel ad campaigns through a cloud-based platform. Viant's self-service demand side platform (""DSP"") powers programmatic advertising across Connected TV, Linear TV, mobile, desktop, audio, gaming and digital out-of-home channels. As an organization committed to sustainability, Viant's Adricity® carbon reduction program helps clients achieve their sustainability goals. In 2023, Viant was recognized by G2 as a Leader in the DSP category and as the Best Software in Marketing & Advertising, earned Great Place to Work® certification, and became a founding member of Ad Net Zero. Viant's Co-Founders Tim and Chris Vanderhook were also recently named EY Entrepreneurs of the Year.

Based in Irvine, CA, Viant has more than 334 employees in 10 offices around the U.S. To learn more, please visit viantinc.com.

Viant is an equal opportunity employer and makes employment decisions on the basis of merit. Viant prohibits unlawful discrimination against employees or applicants based on race (including traits historically associated with race, such as hair texture and protective hairstyles), religion, religious creed, color, national origin, ancestry, physical disability, mental disability, medical condition, genetic information, marital status, sex, reproductive health decision making, gender, gender identity, gender expression, age, military status, veteran status, uniformed service member status, sexual orientation, transgender identity, citizenship status, pregnancy, or any other consideration made unlawful by federal, state, or local laws. Viant also prohibits unlawful discrimination based on the perception that anyone has any of those characteristics, or is associated with a person who has or is perceived as having any of those characteristics.

By clicking ""Apply for this Job"" and providing any information, I accept the Viant California Personnel Privacy Notice."
畢馬威會計師事務所美國,"Sr. Engineer, Technology Engineering","Known for being a great place to work and build a career, KPMG provides audit, tax and advisory services for organizations in today's most important industries. Our growth is driven by delivering real results for our clients. It's also enabled by our culture, which encourages individual development, embraces an inclusive environment, rewards innovative excellence and supports our communities. With qualities like those, it's no wonder we're consistently ranked among the best companies to work for by Fortune Magazine, Consulting Magazine, Seramount, Fair360 and others. If you're as passionate about your future as we are, join our team.

KPMG is currently seeking a Senior Engineer, Technology Engineering to join our Advisory Technology organization.

Responsibilities:

Respond to critical operational needs, including incident and change requests, as well as security and governance as appropriate
Assist project teams with the deployment, configuration and operation of technical solutions
Understand interdependencies and progress of technology components, to ensure overall program goals are achieved
Analyze customer needs to determine appropriate solutions for complex technical issues
Conduct research on innovative technologies and products to recommend improvements to current processes

Qualifications:

Minimum three years of recent relevant experience with Microsoft Azure
Bachelor's degree from an accredited college or university is preferred
Familiarity with the ITIL framework (Service Now preferred)
Ability to keep up to date on and follow best practices
Must be authorized to work in the U.S. without the need for employment-based visa sponsorship now or in the future. KPMG LLP will not sponsor applicants for U.S. work visa status for this opportunity (no sponsorship is available for H-1B, L-1, TN, O-1, E-3, H-1B1, F-1, J-1, OPT, CPT or any other employment-based visa

KPMG complies with all local/state regulations regarding displaying salary ranges. If required, the ranges displayed below or via the URL below are specifically for those potential hires who will work in the location(s) listed. Any offered salary is determined based on relevant factors such as applicant's skills, job responsibilities, prior relevant experience, certain degrees and certifications and market considerations. In addition, the firm is proud to offer a comprehensive, competitive benefits package, with options designed to help you make the best decisions for yourself, your family, and your lifestyle. Available benefits are based on eligibility. Our Total Rewards package includes a variety of medical and dental plans, vision coverage, disability and life insurance, 401(k) plans, and a robust suite of personal well-being benefits to support your mental health. Depending on job classification, standard work hours, and years of service, KPMG provides Personal Time Off per fiscal year. Additionally, each year the firm publishes a calendar of holidays to be observed during the year and provides two firmwide breaks each year where employees will not be required to use Personal Time Off; one is at year end and the other is around the July 4th holiday. Additional details about our benefits can be found towards the bottom of our KPMG US Careers site at “Benefits & How We Work”.

Follow this link to obtain salary ranges by city outside of CA:

https://kpmg.com/us/en/how-we-work/pay-transparency.html/?id=6718_9_25

California Salary Range: $82200 - $168200

KPMG LLP (the U.S. member firm of KPMG International) offers a comprehensive compensation and benefits package. KPMG is an affirmative action-equal opportunity employer. KPMG complies with all applicable federal, state and local laws regarding recruitment and hiring. All qualified applicants are considered for employment without regard to race, color, religion, age, sex, sexual orientation, gender identity, national origin, citizenship status, disability, protected veteran status, or any other category protected by applicable federal, state or local laws. The attached link contains further information regarding the firm's compliance with federal, state and local recruitment and hiring laws. No phone calls or agencies please.

KPMG does not currently require partners or employees to be fully vaccinated or test negative for COVID-19 in order to go to KPMG offices, client sites or KPMG events, except when mandated by federal, state or local law. In some circumstances, clients also may require proof of vaccination or testing (e.g., to go to the client site).

KPMG recruits on a rolling basis. Candidates are considered as they apply, until the opportunity is filled. Candidates are encouraged to apply expeditiously to any role(s) for which they are qualified that is also of interest to them.

Los Angeles County applicants: Material job duties for this position are listed above. Criminal history may have a direct, adverse, and negative relationship with some of the material job duties of this position. These include the duties and responsibilities listed above, as well as the abilities to adhere to company policies, exercise sound judgment, effectively manage stress and work safely and respectfully with others, exhibit trustworthiness, and safeguard business operations and company reputation. Pursuant to the California Fair Chance Act, Los Angeles County Fair Chance Ordinance for Employers, Fair Chance Initiative for Hiring Ordinance, and San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records."
Petco,Stocker / Cashier,"Create a healthier, brighter future for pets, pet parents and people!

If you want to make a real difference, create an exciting career path, feel welcome to be your whole self and nurture your wellbeing, Petco is the place for you.

Our core values capture that spirit as we work to improve lives by doing what’s right for pets, people and our planet.

We love all pets like our own
We’re the future of the pet industry
We’re here to improve lives
We drive outstanding results together
We’re welcome as we are

Petco is a category-defining health and wellness company focused on improving the lives of pets, pet parents and Petco partners. We are 29,000 strong and operate 1,500+ pet care centers in the U.S., Mexico and Puerto Rico, including 250+ Vetco Total Care hospitals, hundreds of preventive care clinics and eight distribution centers. We’re focused on purpose-driven work, and strongly believe what’s good for pets, people and our planet is good for Petco.

As an Operations Generalist, you’ll ensure our merchandising and inventory strategies are executed across the Pet Care Center utilizing our Petco processes. You will ensure the efficient and effective operations of the Pet Care Center to meet the needs of the guest and their pet/s. You’ll work the truck, stock shelves, clean the Pet Care Center, work the cash register, and provide an excellent experience for each of our guests. You can excel in this role by exhibiting a passion for the welfare, health, and proper care of animals as well as being a positive partner within the whole Pet Care Center team.

Position Responsibilities

To perform this job successfully, an individual must be able to perform each essential job duty satisfactorily. Reasonable accommodations may be made to enable qualified individuals with disabilities to perform essential job functions.

Be responsible for the maintenance and inventory across the entire Pet Care Center.
Ensure merchandise is properly stocked, priced, and displayed to create a great presentation for our guests.
Process register transactions in a way that creates a great experience for each guest.
Be proficient within our selling model and support guest interactions as needed.
Have a strong interest in animal welfare and support animal care procedures to maintain pet health.
Complete and apply training programs to maintain a high level of expertise of their role.
Promote a positive culture of teamwork, inclusion, and collaboration.
Adhere to established operational guidelines, policies, and procedures.
Complete other duties and special projects as assigned.
Evaluate guest inquiries and refers to the Leader on Duty as needed.

Other Essential Duties

UTILIZE SELLING BEHAVIORS. You’re the key to providing an amazing guest experience within our Pet Care Locations. Utilizing the behaviors within our Sales Model is critical to being able to identify and solve for their needs both today and in the future. 
CONTRIBUTE TO A SAFE ENVIRONMENT. You’ll be empowered through our training programs to maintain our safety protocols. Bottom line, the safety of partners, guests and pets is our #1 priority.
BE A PART OF A COLLABORATIVE CULTURE. Being a great teammate is key to creating a culture that is centered around solving for the health and wellness needs of pets.
ENGAGE IN YOUR CAREER: As you develop your skills and knowledge, you will have the opportunity to participate in developmental programs to support your continued growth throughout your career.

Basic Qualifications

Minimum high school diploma (its equivalency i.e. GED) or the equivalent work experience.
A qualified applicant will be required to demonstrate proficiency in the areas of mathematics, and above average communication skills.
In addition to having a professional appearance and demeanor, applicants must also demonstrate a keen and genuine interest in animals and their care.
Good interpersonal and verbal communication skills are necessary due to the nature of interaction with the public and other partners and leaders within the store.

Education/Skills

In addition to a high school diploma or its equivalent (GED), an applicant must be able to demonstrate proficiency in the areas of mathematics and basic accounting relationships and exhibit exceptional communication skills.

Supervisory Responsibility

None

Work Environment

The majority of job duties are conducted indoors, although merchandise receiving, merchandise carry-outs, or stock balancing will require leaving the store briefly. Because this position requires bending, kneeling, moving merchandise (up to 50 pounds, as necessary) and standing for long periods of time, there may be risk of injury resulting from not following procedures. Ability and willingness to a flexible schedule including evenings and weekends to meet store needs.

Equal Opportunity Employer

Petco Animal Supplies, Inc. is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, age, protected veteran status, or any other protected classification.

Starting Rate

$15.00

To translate this webpage to Spanish or other languages on your internet browser click the translate button to the right of your browser address bar. Additional instruction can be found here: https://support.google.com/chrome/answer/173424?hl=en-GB&co=GENIE.Platform%3DDesktop

Para Traducir Esta Página Web Al Español u Otros Idiomas En Su Navegador De Internet, Haga Clic En El Botón De Traducción a La Derecha De La Barra De Direcciones De Su Navegador. Puede Encontrar Instrucciones Adicionales Aquí

https://support.google.com/chrome/answer/173424?hl=en-GB&co=GENIE.Platform%3DDesktop"
